YEAR,DISTRICT,UPAZILA/THANA,EIIN,INSTITUTE NAME,CLASS_SIX_AGE_UNDER11,CLASS_SIX_AGE11,CLASS_SIX_AGE12,CLASS_SIX_AGE13,CLASS_SIX_AGE14,CLASS_SIX_AGE15,CLASS_SIX_AGE_UPER15,CLASS_SEVEN_AGE_UNDER11,CLASS_SEVEN_AGE11,CLASS_SEVEN_AGE12,CLASS_SEVEN_AGE13,CLASS_SEVEN_AGE14,CLASS_SEVEN_AGE15,CLASS_SEVEN_AGE_UPER15,CLASS_EIGHT_AGE_UNDER11,CLASS_EIGHT_AGE11,CLASS_EIGHT_AGE12,CLASS_EIGHT_AGE13,CLASS_EIGHT_AGE14,CLASS_EIGHT_AGE15,CLASS_EIGHT_AGE_UPER15,CLASS_NINE_AGE_UNDER11,CLASS_NINE_AGE11,CLASS_NINE_AGE12,CLASS_NINE_AGE13,CLASS_NINE_AGE14,CLASS_NINE_AGE15,CLASS_NINE_AGE_UPER15,CLASS_TEN_AGE_UNDER11,CLASS_TEN_AGE11,CLASS_TEN_AGE12,CLASS_TEN_AGE13,CLASS_TEN_AGE14,CLASS_TEN_AGE15,CLASS_TEN_AGE_UPER15
2016,BARGUNA,BARGUNA SADAR,100181,CHHOTO GOURICHANNA HIGH SCHOOL,53,6,5,,,,,,75,6,2,,,,,,61,7,2,,,,,,30,3,1,,,,,,48,3,1
2016,BARGUNA,BARGUNA SADAR,100182,CHALITALI HIGH SCHOOL,,85,38,,,,,,20,80,2,,,,,,54,15,,,,,,,40,20,,,,,,10,37,4,
2016,BARGUNA,BARGUNA SADAR,100183,GARJONBUNIA HIGH SCHOOL,,79,18,,,,,,,74,16,,,,,,,64,22,,,,,,,28,45,20,,,,,,41,19
2016,BARGUNA,BARGUNA SADAR,100184,GAZI MAHMUD JUNIOR HIGH SCHOOL,,55,,,,,,,,60,,,,,,,,35,,,,,,,,,,,,,,,,,
2016,BARGUNA,BARGUNA SADAR,100185,BALIATALI C.T. JUNIOR HIGH SCHOOL,6,31,,,,,,,,30,3,,,,,,,30,4,,,,,,,,,,,,,,,,
2016,BARGUNA,BARGUNA SADAR,100186,RAYBHOGE KADAMTALA JUNIOR SECONDARY SCHOOL,2,40,1,,,,,,1,35,2,,,,,,,27,1,,,,,,,,,,,,,,,,
2016,BARGUNA,BARGUNA SADAR,100187,RAYER TABAK J S SECONDARY SCHOOL,,65,25,,,,,,,87,16,,,,,,,45,48,,,,,,,36,37,,,,,,,24,37
2016,BARGUNA,BARGUNA SADAR,100188,LEMUA P.K.  HIGH SCHOOL,50,3,,,,,,,51,3,,,,,,,70,8,,,,,,,70,7,,,,,,,50,22,
2016,BARGUNA,BARGUNA SADAR,100189,NAPITKHALI PONCHOGRAM HIGH SCHOOL,,33,27,,,,,,4,53,13,,,,,,2,36,12,,,,,,,22,10,,,,,,,16,40
2016,BARGUNA,BARGUNA SADAR,100190,G N S ADARSHA JR GIRLS  HIGH SCHOOL,5,30,,,,,,,6,40,,,,,,,10,20,,,,,,,6,15,,,,,,,,10,15
2016,BARGUNA,BARGUNA SADAR,100191,PURBO ROYBHOGE  HIGH SCHOOL,64,,,,,,,58,,,,,,,45,,,,,,,58,,,,,,,38,,,,,,
2016,BARGUNA,BARGUNA SADAR,100192,PURAKATA GIRLS HIGH SCHOOL,30,10,,,,,,,34,21,,,,,,,32,12,,,,,,,17,13,,,,,,,15,12,9
2016,BARGUNA,BARGUNA SADAR,100193,CHOTO LABON GOLA HAZAR BIGHA HIGH SCHOOL,50,10,32,,,,,,40,30,20,,,,,,63,20,,,,,,,,60,28,,,,,,20,10,
2016,BARGUNA,BARGUNA SADAR,100194,MANASATALI LAKURTALA  A B R HIGH SCHOOL,28,46,,,,,,,,19,71,,,,,,,21,49,,,,,,,20,40,,,,,,,18,38
2016,BARGUNA,BARGUNA SADAR,100195,SONAKHALI GIRLS  HIGH SCHOOL,,20,48,,,,,,,25,35,,,,,,,14,18,,,,,,,15,20,,,,,,,,30
2016,BARGUNA,BARGUNA SADAR,100196,POLICE LINE HIGH SCHOOL,50,90,20,,,,,,70,25,20,,,,,,63,50,20,,,,,,90,25,,,,,,,74,22,
2016,BARGUNA,BARGUNA SADAR,100244,KEORABUNIA HIGH SCHOOL,,94,,,,,,,,95,,,,,,,,69,,,,,,,,40,,,,,,,,30,6
2016,BARGUNA,BARGUNA SADAR,100245,ITBARIA KADAMTALA  HIGH SCHOOL,,128,4,,,,,,,140,7,,,,,,,130,4,,,,,,,70,4,,,,,,,75,5
2016,BARGUNA,BETAGI,100247,B. L. B. JUNIOR HIGH SCHOOL,50,20,6,,,,,,,49,29,,,,,,40,28,2,,,,,,,20,2,,,,,,35,4,
2016,BARGUNA,BETAGI,100248,KADBHANU MEMORIAL GIRLS HIGH SCHOOL,70,40,10,,,,,,80,40,14,,,,,,75,30,12,,,,,,86,24,27,,,,,,72,35,7
2016,BARGUNA,BETAGI,100249,SABUJ KANAN SECONDARY SCHOOL,2,55,11,,,,,,10,130,38,2,,,,,10,121,32,2,,,,,8,40,12,,,,,,3,42,5
2016,BARGUNA,BETAGI,100250,BETAGI HIGH SCHOOL,98,195,8,,,,,,25,221,5,,,,,,192,83,,,,,,,142,41,5,,,,,,171,10,8
2016,BARGUNA,BETAGI,100251,FULTALA BIBICHINI BIKASH HIGH SCHOOL,50,22,,,,,,,,45,15,,,,,,,30,27,,,,,,,32,30,,,,,,,40,15
2016,BARGUNA,BETAGI,100252,KAUNIA EMDADIA SECODARY SCHOOL,,171,,,,,,,,196,,,,,,,,180,,,,,,,,125,,,,,,,,154,
2016,BARGUNA,BETAGI,100253,KUMRAKHALI SHASHI BHUSHAN SECONDARY SCHOOL,7,45,21,,,,,,8,49,30,,,,,,7,36,24,,,,,,8,41,19,,,,,,5,50,15
2016,BARGUNA,BETAGI,100254,PUTIAKHALI ADARSHA SECONDARY SCHOOL,40,7,,,,,,,,90,7,,,,,,,110,9,,,,,,,75,4,,,,,,,78,6
2016,BARGUNA,BETAGI,100255,CHANDKHALI ISHAQUE HIGH SCHOOL,23,80,40,,,,,,33,90,10,,,,,,100,22,,,,,,,82,13,,,,,,,90,31,
2016,BARGUNA,BETAGI,100256,BIBICHINI NIAMITO UNITED HIGH SCHOOL AND COLLEGE,30,35,12,,,,,,40,48,13,,,,,,46,44,10,,,,,,10,80,19,,,,,12,48,35,
2016,BARGUNA,BETAGI,100257,MOKAMIA HIGH SCHOOL,7,89,11,,,,,,75,20,8,,,,,,74,30,1,,,,,,75,3,5,,,,,,95,2,
2016,BARGUNA,BETAGI,100258,TALGACHIA DESANTERKATI SECONDARY SCHOOL,10,55,5,,,,,,5,15,40,,,,,,,,75,6,,,,,,8,15,44,,,,,,,
2016,BARGUNA,BETAGI,100259,HOSNABAD ADARSHA SECONDARY SCHOOL,,131,,,,,,,,120,,,,,,,,116,,,,,,,,98,,,,,,,,72,
2016,BARGUNA,BETAGI,100260,BALAI BUNIA HIGH SCHOOL,5,30,15,3,,,,,35,30,7,,,,,,40,22,,,,,,,20,40,12,,,,,,25,19,
2016,BARGUNA,BETAGI,100261,CHHOPKHALI HIGH SCHOOL,48,39,,,,,,,28,25,,,,,,,30,29,,,,,,,21,20,,,,,,,24,22,
2016,BARGUNA,BETAGI,100262,JAMIR UDDIN SECONDARY SCHOOL,9,76,7,,,,,,4,50,10,,,,,,8,48,10,,,,,,4,48,14,6,,,,,7,45,17
2016,BARGUNA,BETAGI,100263,WEST KARUNA HIGH SCHOOL,29,21,,,,,,,35,30,,,,,,,38,18,,,,,,,23,18,,,,,,,16,15,
2016,BARGUNA,BETAGI,100264,BHORA KALIKABARI HATEM ALI HIGH SCHOOL,12,50,50,15,0,0,0,0,10,60,30,4,0,0,0,0,6,65,33,0,0,0,0,0,0,50,45,0,0,0,0,0,10,50,8
2016,BARGUNA,BETAGI,100265,BHORA SOUTH KALIKABARI ARSHEDIA HIGH SCHOOL,2,12,60,,,,,,40,10,5,,,,,,22,10,12,,,,,,17,10,10,,,,,,19,11,2
2016,BARGUNA,BETAGI,100266,KAUNIA SECONDARY GIRLS SCHOOL,,40,15,,,,,,,40,29,,,,,,,45,15,,,,,,,35,15,,,,,,,40,10
2016,BARGUNA,BETAGI,100267,KAZIRHAT HIGH SCHOOL,15,100,15,,,,,,4,112,28,,,,,,11,90,30,,,,,,12,80,20,,,,,,8,60,20
2016,BARGUNA,BETAGI,100268,KAIALGHATA HIGH SCHOOL,3,57,,,,,,,56,2,,,,,,,37,2,,,,,,,40,5,,,,,,,25,1,
2016,BARGUNA,BETAGI,100269,DESHANTARKAT SECONDARY SCHOOL,48,25,,,,,,,45,19,,,,,,,38,20,,,,,,,15,2,,,,,,,25,13,
2016,BARGUNA,BETAGI,100270,FULTALA NURUNNESSA JUNIOR GIRLS SCHOOL,,30,21,,,,,,5,16,22,,,,,,12,19,7,,,,,,,,,,,,,,,,
2016,BARGUNA,BETAGI,100271,RANIPUR JUNIOR HIGH SCHOOL,26,32,,,,,,,18,31,,,,,,,15,4,,,,,,,,,,,,,,,,,
2016,BARGUNA,BETAGI,100272,RANIPUR KHONTAKATA DARUSSUNNAT JUNIOR SCHOOL,,36,10,,,,,,,45,12,,,,,,,29,10,,,,,,,,,,,,,,,,
2016,BARGUNA,BETAGI,100299,BETAGI  GIRLS  HIGHER   SECONDARY  SCHOOL,0,35,12,10,8,0,0,0,10,78,13,2,0,0,0,0,26,52,0,0,0,0,0,0,20,38,0,0,0,0,0,0,23,36,0
2016,BARGUNA,BETAGI,131154,KAZIRABAD JUNIOR SECONDARY SCHOOL,30,10,15,,,,,,35,6,4,,,,,,22,5,5,,,,,,,,,,,,,,,,
2016,BARGUNA,PATHARGHATA,100300,KALMEGHA MUSLIM SECONDARY SCHOOL AND COLLEGE,137,,,,,,,,173,,,,,,,,150,,,,,,,,132,,,,,,,,104,,
2016,BARGUNA,PATHARGHATA,100301,MANIKKHALI RAHMANIA HIGH SCHOOL,48,15,2,1,,,,5,40,30,2,,,,,15,40,25,6,1,,,,2,15,40,20,10,,,,,30,20,7
2016,BARGUNA,PATHARGHATA,100302,ANOWER HOSSIN GIRL'S HIGH SCHOOL,,69,4,,,,,,,80,15,,,,,,,,79,17,,,,,,,58,7,,,,,,62,5
2016,BARGUNA,PATHARGHATA,100303,PATHARGHATA K. M. HIGH SCHOOL,12,149,15,,,,,,15,112,6,,,,,,18,110,13,,,,,,18,51,15,,,,,,25,79,5
2016,BARGUNA,PATHARGHATA,100304,KAKCHIRA SECONDARY SCHOOL,,86,9,,,,,,,172,12,,,,,,,155,6,,,,,,,133,11,,,,,,,123,58
2016,BARGUNA,PATHARGHATA,100305,PATHARGHATA ADARSHA GIRLS HIGH SCHOOL,20,81,70,,,,,,25,100,37,,,,,,20,95,25,,,,,,15,94,23,,,,,,12,68,22
